iter	Passed	Remaining
414	3909	744
415	3919	734
416	3928	725
417	3937	715
418	3945	706
419	3954	696
420	3962	687
421	3969	677
422	3977	667
423	3985	658
424	3994	648
425	4002	638
426	4011	629
427	4019	619
428	4027	610
429	4033	600
430	4042	590
431	4051	581
432	4058	571
433	4067	562
434	4075	552
435	4083	543
436	4090	533
437	4098	524
438	4108	514
439	4118	505
440	4128	496
441	4135	486
442	4144	477
443	4152	467
444	4161	458
445	4169	448
446	4177	439
447	4186	429
448	4193	420
449	4201	410
450	4209	401
451	4218	391
452	4226	382
453	4235	373
454	4243	363
455	4251	354
456	4259	344
457	4267	335
458	4276	326
459	4284	316
460	4293	307
461	4302	298
462	4312	288
463	4322	279
464	4331	270
465	4338	260
466	4347	251
467	4355	241
468	4363	232
469	4371	223
470	4380	213
471	4388	204
472	4397	195
473	4405	185
474	4412	176
475	4419	167
476	4428	157
477	4436	148
478	4444	139
479	4453	129
480	4461	120
481	4470	111
482	4478	101
483	4486	92
484	4495	83
485	4503	74
486	4513	64
487	4523	55
488	4532	46
489	4540	37
490	4548	27
491	4555	18
492	4564	9
493	4572	0
