iter	Logloss
0	0.6905879016
1	0.6887424207
2	0.6873224925
3	0.6861638104
4	0.6854096766
5	0.6848603733
6	0.6843172461
7	0.6839471318
8	0.6835885064
9	0.6833661462
10	0.6831713838
11	0.6830503289
12	0.6829193923
13	0.6828437715
14	0.6827116226
15	0.6825400615
16	0.682474255
17	0.6824104404
18	0.6822598996
19	0.6821314958
20	0.6820609257
21	0.6819588512
22	0.6818401756
23	0.6817592944
24	0.6816734812
25	0.6815810365
26	0.6815337821
27	0.6814618767
28	0.681412011
29	0.681350577
30	0.681291177
31	0.6811967238
32	0.6810984781
33	0.6810120217
34	0.680947408
35	0.6808349275
36	0.6807465094
37	0.680638062
38	0.6806129997
39	0.6805430597
40	0.6805017012
41	0.6803824703
42	0.6803239504
43	0.680241279
44	0.6801596111
45	0.6800703914
46	0.679988986
47	0.6798860603
48	0.6798314229
49	0.6797573443
50	0.6797200523
51	0.6796709057
52	0.6795774602
53	0.6794374097
54	0.6792988633
55	0.6792147593
56	0.6791025144
57	0.6790545243
58	0.6790032012
59	0.6789135406
60	0.6788331739
61	0.6787824106
62	0.6786555131
63	0.678578076
64	0.6785351976
65	0.678476765
66	0.6784403392
67	0.678417018
68	0.6783093209
69	0.6782728811
70	0.6782086586
71	0.6781660047
72	0.6780230899
73	0.6779382012
74	0.6778614548
75	0.6778006901
76	0.6777125127
77	0.6776750486
78	0.6776290047
79	0.6775801696
80	0.6775205647
81	0.677484292
82	0.6774462607
83	0.6774026896
84	0.6773700171
85	0.6773069456
86	0.677231814
87	0.6771205342
88	0.6771019373
89	0.6770244486
90	0.6769692906
91	0.6769062562
92	0.6768325233
93	0.6768049821
94	0.6767635963
95	0.6766834595
96	0.6765715901
97	0.6765205242
98	0.6764531908
99	0.6763641465
100	0.6762818201
101	0.6762267053
102	0.6761613645
103	0.6760689176
104	0.6760343646
105	0.6759645188
106	0.6758833658
107	0.6758581764
108	0.6758125913
109	0.6757318433
110	0.6756735471
111	0.6756560676
112	0.6755796234
113	0.6754903952
114	0.6754321022
115	0.6754067158
116	0.6753559796
117	0.6753040997
118	0.6752733816
119	0.675216831
120	0.6751948479
121	0.6751223962
122	0.6750909408
123	0.6749975468
124	0.674895792
125	0.6748255026
126	0.6747751467
127	0.6747265728
128	0.6746305174
129	0.6745718029
130	0.6745362376
131	0.6744754828
132	0.6744512122
133	0.6743586163
134	0.6742987795
135	0.6742236103
136	0.6741310765
137	0.6740659693
138	0.6740300442
139	0.6739802094
140	0.6739144932
141	0.6738879416
142	0.6738470368
143	0.6738275018
144	0.673786161
145	0.6737223486
146	0.673671652
147	0.6736537823
148	0.6736107797
149	0.6735645166
150	0.6735258799
151	0.6734812144
152	0.6734224491
153	0.6733642473
154	0.6733341741
155	0.6733067114
156	0.6732469758
157	0.6732041493
158	0.6731374842
159	0.6730931904
160	0.6730257745
161	0.6729852966
162	0.6728880386
163	0.6728143375
164	0.6727745028
165	0.6727148864
166	0.6726674666
167	0.6726201722
168	0.6725561107
169	0.6724979826
170	0.6724128812
171	0.6723277577
172	0.6723039442
173	0.6722615016
174	0.6721840327
175	0.6721182345
176	0.6719879785
177	0.6719339079
178	0.6718648317
179	0.6717831849
180	0.6717532815
181	0.6716794364
182	0.6716194957
183	0.6715445184
184	0.6714326348
185	0.6713939482
186	0.6713112241
187	0.6712887524
188	0.6712235771
189	0.6711598045
190	0.6711124662
191	0.6710732508
192	0.6710254154
193	0.6709549016
194	0.6709212943
195	0.6708506654
196	0.6707721175
197	0.6706876514
198	0.6706512087
199	0.670576596
200	0.6704946692
201	0.6704646508
202	0.6704502093
203	0.6703899693
204	0.6703322626
205	0.6702372457
206	0.6701812365
207	0.6701091821
208	0.6700658007
209	0.6700292035
210	0.6699351173
211	0.6698737265
212	0.6697858745
213	0.6697367137
214	0.669713165
215	0.6696842634
216	0.669628899
217	0.6695887556
218	0.6695311369
219	0.6694588651
220	0.6693977744
221	0.6693350398
222	0.6692949208
223	0.6692316554
224	0.6691213402
225	0.6690883025
226	0.6690195157
227	0.6689338066
228	0.6688773557
229	0.6688475169
230	0.66876271
231	0.6687111714
232	0.6686997166
233	0.6686234249
234	0.6685357573
235	0.668465939
236	0.668423236
237	0.66833201
238	0.6682792083
239	0.6682266375
240	0.6681320314
241	0.6680454428
242	0.6679811211
243	0.667918561
244	0.6678713855
245	0.6678196787
246	0.6677870013
247	0.6677137647
248	0.6676658756
249	0.6676209868
250	0.6675874701
251	0.6675222801
252	0.6674825847
253	0.6674365847
254	0.667384201
255	0.6673323568
256	0.6672939726
257	0.667257988
258	0.6671998639
259	0.6671541693
260	0.6670934283
261	0.667041836
262	0.6669799691
263	0.6668917599
264	0.6668516772
265	0.6668004397
266	0.6667640232
267	0.6667228141
268	0.6666241731
269	0.6665270829
270	0.6664538303
271	0.6664031911
272	0.6663316074
273	0.6662808852
274	0.6662326324
275	0.6662013383
276	0.6661645287
277	0.6661453328
278	0.6660966631
279	0.6660559604
280	0.6659969515
281	0.6659276808
282	0.6658651352
283	0.6657980273
284	0.6657344587
285	0.6657180314
286	0.6656919695
287	0.6656218014
288	0.6655216271
289	0.66548599
290	0.6654285778
291	0.6653289539
292	0.6652750445
293	0.6652402581
294	0.6651766512
295	0.6651215824
296	0.6650822458
297	0.6650478682
298	0.6650085101
299	0.6649537398
300	0.6648835195
301	0.6648314411
302	0.6647905964
303	0.6647617982
304	0.6647317283
305	0.6646287561
306	0.6645835139
307	0.6645409363
308	0.6645236377
309	0.6644695447
310	0.6643852896
311	0.6643620446
312	0.6643011289
313	0.6642504289
314	0.6642040068
315	0.6641646021
316	0.6640843914
317	0.6639803882
318	0.6639512201
319	0.6638878402
320	0.6638441252
321	0.6638046858
322	0.6637614453
323	0.6637266841
324	0.663660696
325	0.6635740535
326	0.6635474882
