iter	Logloss
327	0.663509271
328	0.6634857221
329	0.6634247357
330	0.6633461697
331	0.6633059968
332	0.6632220736
333	0.6631858275
334	0.6631376052
335	0.6630716795
336	0.6630388603
337	0.6630035347
338	0.6629680133
339	0.6629486057
340	0.6628885299
341	0.6628350693
342	0.6627617827
343	0.6627317752
344	0.6626906016
345	0.662644146
346	0.6625636485
347	0.6625267443
348	0.6624738152
349	0.6623717583
350	0.6623446925
351	0.6622933087
352	0.6622156107
353	0.6621516094
354	0.6620940814
355	0.6620032901
356	0.6619524778
357	0.6618961669
358	0.6618383387
359	0.6618006832
360	0.6617425354
361	0.6616830044
362	0.6616255413
363	0.661604479
364	0.6615520013
365	0.6614979556
366	0.6614682808
367	0.6614205273
368	0.6613834198
369	0.6613517656
370	0.6612931722
371	0.66123655
372	0.6611682882
373	0.6611105653
374	0.6610776342
375	0.6610758986
376	0.6610437045
377	0.6610142948
378	0.6610006513
379	0.660946759
380	0.6608712347
381	0.6608485242
382	0.6607700338
383	0.6607332661
384	0.6606728053
385	0.6606552813
386	0.66058445
387	0.6605189364
388	0.6604891589
389	0.6604072666
390	0.660341366
391	0.6603088843
392	0.6602756045
393	0.6602294423
394	0.6601475364
395	0.6601159172
396	0.660068009
397	0.6600495669
398	0.6600237051
399	0.659976378
400	0.6599372758
401	0.6598980813
402	0.6598211318
403	0.6597592893
404	0.6597147578
405	0.6596676745
406	0.6596304414
407	0.659600838
408	0.6595645068
409	0.6595363502
410	0.659495646
411	0.6594277922
412	0.6593664527
413	0.6593300869
414	0.6592834458
415	0.6592159536
416	0.6591766785
417	0.6591423714
418	0.6591058571
419	0.6590762392
420	0.6590468302
421	0.6590142805
422	0.658987404
423	0.6589426332
424	0.6589177388
425	0.6588624278
426	0.658837341
427	0.658788032
428	0.6586589157
429	0.658610686
430	0.6585326334
431	0.6584599102
432	0.6583831512
433	0.6583433088
434	0.6583090845
435	0.6582606176
436	0.6582448959
437	0.6582051919
438	0.6581422408
439	0.658108038
440	0.6580467022
441	0.6580170232
442	0.6579679429
443	0.6579085291
444	0.657830969
445	0.657785072
446	0.6577498564
447	0.6576731171
448	0.6576531904
449	0.6575817246
450	0.657520337
451	0.6574670675
452	0.6574253189
453	0.6573839605
454	0.6573539959
455	0.6572958494
456	0.6572172736
457	0.657156372
458	0.6571178036
459	0.6570683813
460	0.656998445
461	0.6569647972
462	0.6569461213
463	0.6568926291
464	0.6568366694
465	0.6567454448
466	0.6567230849
467	0.6566996226
468	0.6566466274
469	0.6565814585
470	0.6565345593
471	0.6564910554
472	0.6564618531
473	0.6564113752
474	0.6563823865
475	0.6563469086
476	0.6562845995
477	0.6562114259
478	0.6561759413
479	0.656146932
480	0.6560995999
481	0.6560155316
482	0.6559698197
483	0.6559204429
484	0.6558850059
485	0.6558476307
486	0.6558192186
487	0.655799984
488	0.655754402
489	0.6556708764
490	0.6556349813
491	0.6555954685
492	0.6555717473
493	0.6555562652
